Season,Divison,TeamID,OpponentTeamID,TeamScore,OpponentScore,GameResult,Win,WinPercentage,MedianScoreDifference,HighSeed,OpponentWinPercentage,OpponentMedianScoreDifference,OpponentHighSeed,WinPercentageDifference,HighSeedDifference,MedianScoreDifferenceDifference,538rating,538ratingOpponent,538rating_Difference,BaselinePred
2016,M,1195,1192,96,65,W,1,0.5517241379310345,2.0,16.0,0.5483870967741935,2.0,16.0,0.0033370411568409697,0.0,0.0,71.41,66.72,4.689999999999998,True
2016,M,1455,1435,70,50,W,1,0.7419354838709677,17.0,11.0,0.59375,10.0,11.0,0.14818548387096775,0.0,7.0,86.59,85.59,1.0,True
2016,M,1221,1380,59,55,W,1,0.42424242424242425,-4.0,16.0,0.6129032258064516,4.0,16.0,-0.18866080156402737,0.0,-8.0,66.85,67.96,-1.1099999999999994,False
2016,M,1276,1409,67,62,W,1,0.6363636363636364,5.0,11.0,0.6451612903225806,8.0,11.0,-0.008797653958944274,0.0,-3.0,79.57,79.93,-0.36000000000001364,False
2016,M,1114,1345,85,83,W,1,0.8709677419354839,8.0,12.0,0.7647058823529411,13.0,5.0,0.10626185958254275,7.0,-5.0,78.9,88.68,-9.780000000000001,False
2016,M,1139,1403,71,61,W,1,0.6774193548387096,6.0,9.0,0.6129032258064516,3.0,8.0,0.06451612903225801,1.0,3.0,84.17,81.27,2.9000000000000057,False
2016,M,1163,1160,74,67,W,1,0.7058823529411765,8.5,9.0,0.65625,4.5,8.0,0.049632352941176516,1.0,4.0,85.32,81.46,3.8599999999999994,False
2016,M,1181,1423,93,85,W,1,0.696969696969697,8.0,4.0,0.7666666666666667,5.5,13.0,-0.0696969696969697,-9.0,2.5,87.33,77.72,9.61,True
2016,M,1211,1371,68,52,W,1,0.78125,9.5,11.0,0.7575757575757576,8.0,6.0,0.02367424242424243,5.0,1.5,85.96,84.46,1.5,False
2016,M,1231,1151,99,74,W,1,0.78125,10.0,5.0,0.84375,7.5,12.0,-0.0625,-7.0,2.5,87.36,76.6,10.760000000000005,True
